,RunTime,Accuracy,Bal_Acc,Precision,Recall,F1,AUC,Year,Clf,Scaling,Sampling
2016_NB_SMOTE_stand,0:00:16.726118,0.5,0.5,0.0,0.0,0.3333,0.6013,2016,NB,stand,SMOTE
2016_NB_RandomUnder,0:00:11.197270,0.6153,0.6153,0.741,0.3546,0.5873,0.707,2016,NB,non,RandomUnder
2016_NB_RandomUnder_norm,0:00:11.253289,0.5,0.5,0.0,0.0,0.3333,0.6217,2016,NB,norm,RandomUnder
2016_NB_RandomUnder_stand,0:00:11.378856,0.5,0.5,0.0,0.0,0.3333,0.6138,2016,NB,stand,RandomUnder
2016_DT,0:00:11.223703,0.5735,0.6504,0.2817,0.7758,0.6162,0.7067,2016,DT,non,non
2016_DT_norm,0:00:11.454251,0.4974,0.6345,0.2592,0.8584,0.5355,0.707,2016,DT,norm,non
2016_DT_stand,0:00:11.456811,0.4087,0.6032,0.2364,0.9206,0.426,0.699,2016,DT,stand,non
2016_DT_SMOTE,0:00:15.475895,0.6655,0.6655,0.6292,0.806,0.6587,0.7034,2016,DT,non,SMOTE
2016_DT_SMOTE_norm,0:00:16.006307,0.643,0.643,0.5976,0.8753,0.6226,0.6963,2016,DT,norm,SMOTE
2016_DT_SMOTE_stand,0:00:15.384878,0.6499,0.6499,0.6007,0.8942,0.6277,0.7006,2016,DT,stand,SMOTE
2016_DT_RandomUnder,0:00:10.994758,0.6509,0.6509,0.6208,0.7758,0.6454,0.7068,2016,DT,non,RandomUnder
2016_DT_RandomUnder_norm,0:00:11.088707,0.6357,0.6357,0.5939,0.8584,0.6166,0.7073,2016,DT,norm,RandomUnder
2016_DT_RandomUnder_stand,0:00:11.122250,0.6345,0.6345,0.5926,0.8609,0.6148,0.7061,2016,DT,stand,RandomUnder
2016_RF,0:00:42.235630,0.8088,0.5335,0.5414,0.0841,0.7477,0.7173,2016,RF,non,non
2016_RF_norm,0:00:37.076189,0.8063,0.5,0.0,0.0,0.7199,0.656,2016,RF,norm,non
2016_RF_stand,0:00:35.045495,0.8063,0.5,0.0,0.0,0.7199,0.6547,2016,RF,stand,non
2016_RF_SMOTE,0:00:56.346231,0.5332,0.5332,0.8298,0.0835,0.4148,0.7147,2016,RF,non,SMOTE
2016_RF_SMOTE_norm,0:00:46.156187,0.5,0.5,0.0,0.0,0.3333,0.6144,2016,RF,norm,SMOTE
2016_RF_SMOTE_stand,0:00:45.893457,0.5,0.5,0.0,0.0,0.3333,0.5932,2016,RF,stand,SMOTE
